X,Y,Z
0.0,1.0,1.05
0.1,0.99,1.022
0.189,1.007078,0.9957366666666667
0.2708078,1.0480452777,0.971087066308889
0.34853154777,1.1107612294026443,0.9480295995668618
0.4247545159332644,1.1939382682475297,0.9266201635499449
0.5016728911646909,1.296994289036142,0.9069815992337832
0.5812050309518361,1.419942674860686,0.8893020920022642
0.6650787953427211,1.5633119882795161,0.8738401478117929
0.7549021146364006,1.728089205564395,0.8609350004092428
0.8522208237292,1.915681689083209,0.8510221156872719
0.958566910264601,2.127894115152125,0.8446540308730124
1.0754996307533533,2.3669173348285275,0.8425272122563814
1.2046414011608708,2.635326681034367,0.8455160071258625
1.3477099291482204,2.936087570673787,0.8547151498580848
1.506547693300777,3.2725663941879795,0.8714926895803267
1.6831495633894973,3.6485446313581598,0.8975556580482267
1.8796890701863636,4.068233858654021,0.9350313035330498
2.0985435490331295,4.536288778504331,0.9865672826295757
2.3423180719802494,5.057814540382069,1.05545481728627
2.6138677188204316,5.6383633462058365,1.1457794595185835
2.916317281558972,6.2839135145922675,1.2626046999743659
3.2530769048623016,7.000821659219729,1.4121940970926568
3.6278513802980443,7.795735215964626,1.6022777003835273
4.044639763864702,8.67544799661886,1.84236798267672
4.507720587140118,9.646675502510734,2.144128789169991
5.021616078677179,10.715719177040645,2.52179719906007
5.591026388513526,11.887979513680218,2.9926515508919684
6.220721701030195,13.167267169400574,3.577507581205792
6.915376247867233,14.554849783534955,4.3012064252798305
7.679323601434005,16.04816202759689,5.1930302121157
8.516207444050293,17.639101421013844,6.2869397006409
9.428496841746648,19.311839664348856,7.621470443570439
10.416831124006869,21.040110283327735,9.239047424578201
11.479159039938956,22.78400592753116,11.184385583108503
12.609643728698178,24.48645699071373,13.501547576982697
13.797325054899733,26.069795617523884,16.229161296573068
15.024572111162149,27.433158538948405,19.393318104495563
16.265430753940773,28.451944081327323,22.99787764209609
17.48408208667943,28.9810413888663,27.012432167671772
18.633778016898116,28.863898145443542,31.359169709204448
19.65679002975266,27.949318937165067,35.90135989107118
20.4860429204939,26.11667202451046,40.43792923220038
21.049105830895556,23.307465783336127,44.70985709302087
21.274941826139614,19.557115621801394,48.423607376441176
21.103159205705794,15.01643387744636,51.293076151145186
20.49448667287985,9.95069459458944,53.094202735291695
19.44010746505081,4.7082596133937376,53.717701106564355
17.966922679885105,-0.33837171539687194,53.2005198056333
16.136393240356906,-4.86274590665017,51.72104429300712
14.036479325656199,-8.641839435422536,49.55714464341717
11.768647449548325,-11.581285192143365,47.02261078054989
9.433654185379156,-13.704176338684622,44.40571386867846
7.1198711329727775,-15.11479288831169,41.92875689410097
4.896404730844331,-15.955354500713625,39.73450293459475
2.8112288076885354,-16.37036971253705,37.8936774570763
0.8930689556659765,-16.484799926224795,36.4229708422703
-0.8447179325231009,-16.395174864699662,35.304470989265
-2.399763625740757,-16.169520939730397,34.501511411701905
-3.7767393571397214,-15.851804824351687,33.96950138935804
-4.984245903860918,-15.467834267711282,33.66232937059342
-6.032604740245954,-15.030931505317254,33.53562214994866
-6.932437416753085,-14.546679986044174,33.548095579109585
-7.693861673682194,-14.016594932340315,33.66191918324785
-8.326134999548005,-13.440808752982145,33.842685430482526
-8.83760237489142,-12.819930788911426,34.05931370080735
-9.23583521629342,-12.15623342949764,34.28403984331276
-9.527875037613843,-11.454287530348074,34.4925284688808
-9.720516286887266,-10.721144655748127,34.66407791205119
-9.820579123773353,-9.966150430378853,34.7818531134659
-9.835136254433904,-9.200471675009059,34.83307071904978
-9.77166979649142,-8.436425142678596,34.80906775849619
-9.638145331110138,-7.6867012736722025,34.70520555917369
-9.443000925366345,-6.963576804392644,34.52058885085388
-9.195058513268975,-6.278201770823251,34.25761043690851
-8.903372839024403,-5.640028811908855,33.92135848499923
-8.577038436312849,-5.056427900735078,33.5189417187519
-8.224977382755071,-4.5325018692326715,33.05879503746901
-7.855729831402831,-4.071092102868582,32.55002442342051
-7.477266058549406,-3.672943555873137,32.00183776891823
-7.0968338082817795,-3.336986063100872,31.42309119026672
-6.720849033763689,-3.0606851095906995,30.8219624469634
-6.35483264134639,-2.8404184226448783,30.205747473992187
-6.003391219476239,-2.6718426779555005,29.580764711758782
-5.670236365324165,-2.5502247612696394,28.952345488171815
-5.358235204918712,-2.4707222734631005,28.324886713631578
-5.069483911773151,-2.428606856462559,27.701943511940538
-4.805396206242092,-2.419430713608104,27.08634285215738
-4.566799656978693,-2.4391412523925116,26.48030360782423
-4.354033816520075,-2.484151329493587,25.885552872629738
-4.167045567817426,-2.5513735591567896,25.30343225163263
-4.005478366951362,-2.6382270304067585,24.734990957071066
-3.8687532332969017,-2.742623990996215,24.18106481118984
-3.756140309066833,-2.862942929680859,23.64234177055362
-3.6668205711282353,-2.997993257671654,23.11941547674618
-3.5999378397825774,-3.1469756023849094,22.612828764192958
-3.5546416160428107,-3.3094406621727606,22.123109162666793
-3.530121520655806,-3.485248662984286,21.650798340031514
-3.525634234888654,-3.674530710542826,21.196477230731052
-3.540523882454071,-3.8776527313691886,20.760788350613954
-3.5742367673455826,-4.095182221403407,20.344456548963674
-3.626331312751365,-4.327857647956431,19.948309216305177
-3.6964839462718717,-4.576560055571908,19.57329676092952
-3.7844915572018754,-4.8422861874484004,19.22051398838377
-3.890271020226528,-5.126122232449252,18.891222860633075
-4.0138561414488,-5.42921712747457,18.586876965353223
-4.155392240051377,-5.7527541732281255,18.309147878047533
-4.315128433369052,-6.097919548566312,18.059953435136485
-4.493407544888778,-6.465866128691197,17.841487737150334
-4.69065340326902,-6.857670823871624,17.656252447295344
-4.907355145329281,-7.274283462239405,17.507088618585723
-5.144047977020294,-7.716465054187686,17.397207845860144
-5.401289684737033,-8.184713118958507,17.330220967821294
-5.67963202815918,-8.679171662018225,17.31016180743235
-5.979585991545084,-9.199523419141508,17.34150250606239
-6.301579734304727,-9.74486220800677,17.429155852893956
-6.645907981674931,-10.313543758445675,17.578458625519126
-7.012671559352006,-10.9030143708814,17.795128356674695
-7.401705840504945,-11.509618358572435,18.085184188395566
-7.812497092311695,-12.128387675989545,18.454820704304638
-8.244086150679479,-12.752820654161788,18.91022208672082
-8.69495960102771,-13.374661569696341,19.457303019112345
-9.162929797894574,-13.983699005325773,20.101363025528624
-9.645006718637694,-14.567608576233871,20.846643201188076
-10.137266904397311,-15.111874234325068,21.695779541745658
-10.634727637390087,-15.59983114607668,22.649156446022822
-11.131237988258746,-16.01288047288423,23.70417849507355
-11.619402236721294,-16.33092978341955,24.85449890275041
-12.09055499139112,-16.533108910435264,26.08926868587577
-12.534810383295534,-16.598795841602833,27.392499478855175
-12.941208929126264,-16.50895692158984,28.742660410740964
-13.297983728372621,-16.247758116986045,30.11264807369693
-13.592961167233964,-15.80434093873819,31.47026835568716
-13.814099144384386,-15.174585299363443,32.77933912607544
-13.950147759882292,-14.362616801047393,34.00145567405001
-13.991394663998802,-13.381778698763103,35.098356455340465
-13.930433067475231,-12.25480184545135,36.034697754004924
-13.762869945272843,-11.012985634201245,36.780919449197114
-13.487881514165684,-9.694349254067065,37.31579782047856
-13.108528288155822,-8.340901989401017,37.6282722195571
-12.631765658280342,-6.995368181945716,37.71822112380356
-12.068125910646879,-5.697831581613896,37.59604040951275
-11.43109647774358,-4.482791026741203,37.28110082137152
-10.736265932643342,-3.377031527386161,36.79937029996403
-10.000342492117623,-2.398537416310125,36.180620844041044
-9.240161984536874,-1.556461939761356,35.45566624463255
-8.471791980059322,-0.8519816823332578,34.65400141590396
-7.709810950286716,-0.27974870720433975,33.80207282731534
-6.966804725978478,0.17037762605167167,32.92225231504826
-6.253086490775463,0.5115975567005222,32.032455710143196
-5.576618086027864,0.7586345243909849,31.146266253500865
-4.943092824985979,0.9265034320743956,30.27339300331347
-4.356133199279942,1.0296143241841733,29.42030459855099
-3.81755844693353,1.081188541090711,28.590911771189305
-3.327683748131106,1.0929350579147659,27.787212452813236
-2.8856218675265186,1.0749248107098375,27.00985069843836
-2.489567199702883,1.0356035978357154,26.25856974774936
-2.1370501199490235,0.981893485491623,25.53255917365205
-1.8251557594049588,0.9193441034975667,24.83070737311186
-1.5507057731147063,0.8523061355505455,24.151775714641808
-1.3104045822481811,0.7841084380395884,23.494511601802767
-1.1009532802194042,0.7172272272365557,22.857716299519495
-0.9191352294738082,0.6534408138855623,22.240280861514087
-0.7618776251378712,0.5939667980261373,21.641200700482862
-0.6262931828214703,0.5395808609554311,21.059576715001743
-0.5097057784437802,0.49071765445297877,20.494608644453724
-0.4096634351541043,0.4475550644744096,19.945584531027702
-0.32394158519125293,0.41008351873789006,19.41186880741563
-0.25053907479833865,0.3781621552269489,18.892890541500005
-0.1876689517958099,0.3515636658964815,18.388132683095062
-0.13374569002658074,0.33000953859587717,17.897122702365845
-0.08737016716433496,0.31319728025565885,17.419424723434872
-0.04731342242233557,0.300821041147019,16.95463308982263
-0.012499976065400112,0.29258688963123974,16.50236721203076
0.018008710504263874,0.28822381938834357,16.06226751308543
0.04503022139267184,0.28749141287880203,15.63399228479639
0.06927634054128487,0.29018493940160506,15.21721528188819
0.09136720042731689,0.2961385354795675,14.811623903877992
